voted_up,review,playtime_forever
True,"9/10. I've now played it twice, once on my Xbox and second on my PC. I definitely feel more attached to the story the second time through. I'm finding myself doing optional side missions, connecting with Panam, doing things for Johnny, finding Delamain's cars, etc. just because I don't want to stop playing. The -1 is because there can still be some bugs here and there. Other than the few bugs, this game is perfection.",23.216666666666665
True,awesome man,54.21666666666667
True,"No Good ending in Night city 
",137.48333333333332
True,"fun
",25.9
True,it's really really good now.,108.5
True,dad keeps farting on me,56.11666666666667
True,very pog very cool mhmhm,57.333333333333336
True,Game was pretty good I guess,221.33333333333334
True,This game is great cant wait to see what comes next. Love the Witcher games.  This game had a rough start but is more fun than GTA at this point. Mods can make this game even more optimized to whatever experience you want if done right. Cant say many stories rival this one besides possibly rockstars games. It is hard to compare due to them being so different in nature.,24.933333333333334
True,"The game is very fun, graphics are amazing, story is really well-thought out and the combat is interesting and you can experiment with many different builds. If you want a very rich and immersive world to lose hours in, this is the game for you.",44.233333333333334
True,":)
",13.566666666666666
True,"Peak game, basically 4 playstyles to pick and a lot of weapons to chose from.
Personally I find playing as a netrunner kind of like playing the game on easy mode no matter what difficulty you pick, you can kill enemies from far away while staying undetected (unless you have some mentall illness or an additional chromosone, but I'm pretty sure those people can also stay undetected). If you want some difficulty but also don't want to screw yourself over, use the sandevistan and use throwing knives, it's fun, requires aiming but rewards a lot for hitting headshots.
The hardest way to play the game is probably just using gorilla arms and the berserker implant.
Also I pre-ordered the dlc and regretted nothing. Peak game, buggy on launch but after that it was still buggy, but in a fun way. 10/10",131.0
True,"""johnny johnny"" 
"" yes papa"" 
""playing one-handed?"" 
""no papa"" 
""telling lies?""
""no papa""
*opens last save* ""ha ha ha""",60.36666666666667
True,still don't know how to drive in this game,37.21666666666667
True,peak game.,149.86666666666667
True,"It's come a long way since release.  The graphics are great, better optimized, and the bugs are more quirky than game breaking.

The DLC Phantom Liberty really helps to flush the game out with content.  It can be a little bit of a lore dump at times, but once the world opens up you'll be clearing the map of points of interests and quests, progressing and growing your character.  

I've played with all of the talent trees and builds at this point and they're all fun and viable in their own ways.  You used to be able to re-work your attributes for in game currency, but now you can only do that once.  The game then only allows you to re-work your talents, but your attributes are fixed.  I find this to be a strange design choice, as it would be infinitely more fun to set your builds at your base (apartment) and experiment as you enjoy the story and events.  

The combat is fun.  You feel super powerful, but on the higher difficulties the enemies can drop you super fast.  The driving is also much improved from launch.  

If you want a first person action game with RPG progression systems and a dystopian story with a fully fleshed out open world, this is a must play.",191.51666666666668
True,"game good


ttrpg fans will be pleasantly surprised",201.08333333333334
True,I rate it Dystopia/10,271.71666666666664
True,♥♥♥♥♥♥♥♥,28.066666666666666
True,"love it
",101.56666666666666
True,"I honestly loved playing Cyberpunk 2077. Night City feels absolutely alive — every street, every neon sign, every random conversation makes the world feel real and immersive. It’s one of those games where you can just walk around for hours and still find something interesting.

What surprised me the most was how good the story is. I got genuinely attached to the characters, especially Johnny Silverhand. The game mixes action, emotional moments, and dark humor really well, and some of the side missions were honestly better than entire storylines in other games.

The gameplay is super fun too because you can approach things however you want. One minute I was sneaking around hacking cameras, the next I was running in with a katana like a complete maniac. The freedom to build your character your own way makes the experience feel personal.

And visually? The game is gorgeous. At night, with the rain, neon lights, and music playing in the background, it feels like you’re inside a sci-fi movie. The soundtrack deserves a lot of credit too because it perfectly matches the atmosphere.

The game had a rough launch, but after all the updates it has become something really special. Now it feels polished, immersive, and genuinely memorable. For me, Cyberpunk 2077 ended up being one of those games that stays in your head long after you finish it.",103.11666666666666
True,"Very good, very nice",4.55
True,"Wake up, Samurai! We have a city to burn!",33.1
True,Incredible story line!!!,114.56666666666666
True,good,74.4
True,I like that i can pick people up and throw them at another person at 90mph.,105.71666666666667
True,Best experienced I've ever have,46.45
True,Recommended to all new players,77.4
True,YES.,142.43333333333334
True,300 hours well spent,316.95
True,Was fun when I played through it vanilla and I return to it often as the modding community is strong.,152.43333333333334
True,"Back on release it certainly was far from a perfect game but still it was good. Now, years after release and many updates later it shines as a really good story-rich spectacle. What a load of fun this is!",120.7
True,"INSANE - I was way too late to this game. I can see why it is so highly regarded, had me hooked the entire way.",86.3
True,Best Openworld game,110.78333333333333
True,"Overall, it's a good open world game. You'll be Googling a lot if you decide to get this game as there is not a lot of in-game descriptions on how leveling works in the game (or I just haven't found it).",30.05
True,"Liked the story at first, but was expecting more action in the game..",13.183333333333334
True,PEAK,37.06666666666667
True,"Genuinely one of the best games I've ever played. Very positive isn't a high enough rating. The graphics, story, movement, map... everything is so curated and beautiful. I look forward to playing again in a few years. Hopefully the next iteration of Cyberpunk isn't too far off.",194.46666666666667
True,Realistic,26.566666666666666
True,i ♥♥♥♥♥♥♥ love johnny silverhand,130.03333333333333
True,"Cyberpunk 2077 is honestly one of the best RPGs I’ve played. Night City looks amazing, the story is emotional and engaging, and the characters are unforgettable. The gameplay gives you a lot of freedom with different playstyles, and the updates made the game much better. Definitely worth playing if you enjoy open-world RPGs and futuristic settings.
",31.6
True,v,41.43333333333333
True,"Considering what's going on today, this is a very optimistic view of the future!",43.53333333333333
True,"An immersive experience like no other. I usually don't replay games after finishing them, but this one seems to always bring me back.",45.68333333333333
True,"You can never get enough of this world. Right off the bat, go experience the game.. just go and play and experience the miriad of stories and characters it hides inside this marvelously crafted world.

Storytelling is apt for the genre and the effort it puts into the choices and outcomes for the quests is breathtaking to say the least. They don't do it for just the main questline (if you can figure out which one is the main story by half way mark that is), they consistently do it for even side quests which is amazing. You may not have the emotional connect with the side quests as you might expect from a Witcher 3 fanatic but that's okay. In this world where the line blurs between humanity and machines and where emotion is a data chip, it is expected that you take the deaths in a monotonous tone and it doesn't affect us much, no matter how much depth the characters might have. But given that there are stories that hits you and you will not see it coming. To do that level of immersion in this hopeless city in itself is a great achievement.

Now coming to the world building. The world is a living breathing city. Each corner and alleys have something to tell. Each district has a unique style. Each have their faction and a history. And the people you meet there, well they add more to the world. And they entangle well with the missions where you have the choice to go which route you wanna go. I once tried climbing an impossible sky scraper just to avoid paying 50 eddies and guess what, I was greeted with the only scissor lift mechanism in the entire game. And to think they have an option to enter the building via the garden at the top floor is an icing on the cake. Brilliant game design, that I felt so satisfied with each different way I try to enter a building for the missions. I could give a 10 outta 10 just for that. But there is more, the abilities not only add to your combat prowess but also how you could potentially do the mission without much turmoil as it lets you interact with the buildings in 3 different ways atleast.

Combat was sluggish at the beginning or so I thought until I discovered how to equip the cyberwares. Oh boy then started the real combat. As of now, I haven't yet experienced two different playstyles. Netrunner plus SMG fun. The possibilities are many whether you go with a Katana with the reflex tree, or you go stealth with throwable knifes with a cool build. Or you could go guns ballistic with ricochets which was my initial build. Then later I switched to a melee build with blunt weapons and these finishers are the best in the game personally.

Just to finish it off. Gameplay time after first complete playthrough is 230 plus hours. No more said :)",244.3
False,"♥♥♥♥♥♥♥ Trash, what game this old have game breaking bugs",19.6
True,We must glaze,43.833333333333336
True,"very good game, makes my husband forget about work and children",317.9166666666667
True,ITS SO GOOOOOD,49.61666666666667
True,fun game choom,60.05
True,"Great game, very nice side qeusts (don't get tired from this). Car physics sucks a bit in comparison with GTA 5, but you can live with that.",47.666666666666664
True,Game is amazing. runs great!,85.85
True,chrome go choom,186.06666666666666
False,GAME FKIN SUCKS I HATE EVERYTHING ABOUT IT THE UI IS TRASH IT HAS TOO MANY OPTIONS U GOT SKILLS AND THEN MORE SKILLS YOU CAN ALSO CRAFT WHICH IS DUMB IN THIS GAME WHY DO I NEEED TO IT DOESNT EXPLAIN THE BACKBACK IDK IF ANYTHING I PICK UP MATTERS THE CYBERWARE IS JUST TOO MUCH AND DIDNT EXPLAIN ANYTHING I HATE THIS GAME WITH A PASSOIN I DONT UNDERSTAND HOW PPL LIKE MUCH LESS PLAY THIS GAME,15.316666666666666
True,im playing this for the third time and its still so fun and there are a lot of secret choices to find,131.26666666666668
True,Finally played this for the first time in 2026. It didn't grab me at first but after the first act and the game opening up it sucked me to wanting to explore everything and unlock as much as I could. Provides replayability with different builds and play styles.,92.41666666666667
True,"Bought this game in 2022 december 25, as couldn't afford it before. as it was stated by most people at that time, the game had it's bugs, but you know what? even with all of them, i enjoyed every second of playing it, never got into the story that much, was mainly doing only main missions, finished the game in 38 hours or so while being only level 22ish. after all that time i'm still listening to the game tracks, check what's new in it, what have i missed and after so much time, watched the anime (thanks for the tears) and now I finally have the time to play it once again. doing every mission i have, reading every text, stopping just to listen what the npcs are talking about, played +-18 hours just in the last few days. This game as it was 4 years ago and today is one the best i have ever played.",64.26666666666667
True,2.0 sonrası düzelmiş,96.5
True,Hi i recently bought cyberpunk and i am loving it so much the phantom liberty expansion was fire and super enjoyable,164.46666666666667
True,Amazing game. Absolutely love it!,194.01666666666668
True,Can be playing for hours and it feels like you just started.,61.983333333333334
True,The media lies! play this game.,45.46666666666667
True,"This game is cyber, and I'm a punk.",84.26666666666667
True,first PC game i 100% on a decade old PC. game gets much better on modern hardwear haha. not as glitchy as release but still keep CDPR at arms length (dont pre order their next game),647.0
